Time,Thermistor 1,Thermistor 2,Thermistor 3,Thermistor 4,Thermistor 5,Thermistor 5,Thermistor 6,Thermistor 7
0,32.99,33.96,35.69,33.76,28.34,28.63,28.04,32.7
1,32.99,33.67,35.3,33.47,28.24,28.24,28.24,32.51
2,33.28,33.47,36.07,33.28,28.04,28.24,28.43,32.32
3,33.38,33.28,35.78,33.67,28.43,28.34,28.43,32.32
4,33.47,33.38,35.11,33.86,28.92,28.53,28.24,32.32
5,33.47,33.19,35.98,34.15,29.02,28.73,28.43,32.41
6,33.57,33.09,35.69,33.96,28.83,28.53,28.43,32.32
7,33.57,32.8,35.3,33.86,28.63,28.34,28.43,32.12
8,34.05,32.7,36.17,33.76,28.53,28.14,28.63,32.03
9,34.05,32.61,35.4,34.05,28.92,28.43,28.63,32.03
10,34.05,32.61,34.63,34.44,29.22,28.63,28.53,32.12
11,34.44,32.41,35.4,34.34,29.12,28.43,28.63,32.12
12,34.34,32.32,35.01,34.15,29.02,28.34,28.63,31.93
13,34.53,32.12,34.92,33.86,28.73,28.14,28.63,31.74
14,34.53,32.03,35.01,34.24,28.73,28.14,28.73,31.84
15,34.73,32.03,34.15,34.44,28.92,28.34,28.63,31.74
16,34.82,31.93,34.24,34.53,28.92,28.34,28.83,31.84
17,34.82,31.74,34.05,34.24,28.73,28.14,28.73,31.74
18,34.82,31.64,33.76,34.05,28.63,28.14,28.73,31.64
19,34.92,31.55,33.76,34.24,28.34,27.94,28.83,31.64
20,35.01,31.55,33.09,34.34,28.53,28.24,28.83,31.64
21,35.01,31.45,33.19,34.44,28.63,28.24,28.83,31.64
22,34.92,31.26,33.09,34.24,28.34,28.14,28.92,31.64
23,34.92,31.16,32.99,34.05,28.24,28.14,28.83,31.64
24,34.82,31.16,32.9,34.15,28.14,27.94,28.92,31.45
25,34.73,31.26,32.61,34.34,28.34,28.14,29.02,31.55
26,34.82,31.16,32.8,34.15,28.14,28.04,28.92,31.45
27,34.73,31.06,32.7,33.96,28.04,27.94,28.92,31.35
28,34.73,30.97,32.8,33.86,27.94,27.94,28.92,31.35
29,34.53,31.16,32.9,33.96,28.04,27.94,28.92,31.35
30,34.63,31.16,33.09,34.05,28.04,27.85,29.02,31.35
31,34.44,30.97,32.99,33.76,27.85,27.75,29.02,31.35
32,34.15,30.87,33.09,33.76,27.85,27.65,29.12,31.26
33,34.15,30.77,33.19,33.86,27.75,27.65,29.02,31.16
34,34.34,30.77,33.47,33.96,27.75,27.65,29.22,31.26
35,34.24,30.58,33.38,33.76,27.55,27.55,29.12,31.16
36,34.15,30.48,33.47,33.67,27.55,27.45,29.22,31.06
37,34.63,30.58,33.57,33.76,27.55,27.45,29.12,31.06
38,34.82,30.77,33.28,34.24,27.65,27.75,29.12,31.16
